base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
gledati,izgledati,iz,11256,6998
činiti,učiniti,u,8487,6550
pitati,upitati,u,6008,5950
govoriti,odgovoriti,od,13834,5764
laziti,nalaziti,na,11,4753
laziti,dolaziti,do,11,4696
staviti,nastaviti,na,2536,3818
gubiti,izgubiti,iz,1750,3386
biti,dobiti,do,187140,3333
laziti,odlaziti,od,11,2864
boraviti,zaboraviti,za,356,2814
laziti,prolaziti,pro,11,2682
vršiti,završiti,za,552,2594
stati,ustati,u,4131,2402
dati,dodati,do,5896,2330
naći,pronaći,pro,6553,2303
praviti,napraviti,na,1783,2289
goditi,dogoditi,do,115,2288
lučiti,odlučiti,od,38,2276
ustaviti,zaustaviti,za,40,2274
gledati,ugledati,u,11256,2252
znati,saznati,sa,29986,2197
laziti,izlaziti,iz,11,2166
raditi,uraditi,u,7532,2135
biti,ubiti,u,187140,2131
tvoriti,zatvoriti,za,46,2107
misliti,zamisliti,za,11168,2095
stati,prestati,pre,4131,1891
pisati,napisati,na,3704,1845
vući,izvući,iz,1348,1806
čitati,pročitati,pro,2974,1772
vesti,provesti,pro,48,1743
ići,izići,iz,9434,1736
buditi,probuditi,pro,475,1711
vratiti,odvratiti,od,7699,1702
kinuti,prekinuti,pre,25,1684
pustiti,napustiti,na,2341,1675
držati,zadržati,za,5942,1670
znati,priznati,pri,29986,1618
laziti,ulaziti,u,11,1616
učiti,naučiti,na,1173,1590
miti,primiti,pri,346,1585
vesti,dovesti,do,48,1565
padati,pripadati,pri,2594,1478
putiti,uputiti,u,40,1475
vesti,odvesti,od,48,1464
veriti,uveriti,u,100,1450
stati,zastati,za,4131,1432
stavljati,nastavljati,na,934,1403
viknuti,uzviknuti,uz,897,1290
imati,uzimati,uz,29631,1280
tvoriti,pretvoriti,pre,46,1232
teći,zateći,za,826,1211
smejati,nasmejati,na,1791,1194
rediti,odrediti,od,20,1177
dati,predati,pre,5896,1154
laziti,prelaziti,pre,11,1144
čekati,sačekati,sa,5720,1140
čuti,začuti,za,10341,1117
ići,naići,na,9434,1108
gađati,događati,do,236,1090
stojati,nastojati,na,36,1080
nositi,donositi,do,4409,1080
gledati,zagledati,za,11256,1072
plašiti,uplašiti,u,1454,1061
govoriti,izgovoriti,iz,13834,1057
rediti,narediti,na,20,1047
bediti,ubediti,u,12,1018
viknuti,naviknuti,na,897,995
stati,nastati,na,4131,984
bližiti,približiti,pri,116,982
pitati,zapitati,za,6008,947
uzeti,obuzeti,ob,4077,937
čekati,dočekati,do,5720,904
miriti,umiriti,u,265,884
voditi,provoditi,pro,5046,883
vaditi,izvaditi,iz,419,880
moliti,zamoliti,za,2871,878
nositi,odnositi,od,4409,874
biti,odbiti,od,187140,861
pustiti,dopustiti,do,2341,855
sećati,podsećati,pod,2475,854
vesti,izvesti,iz,48,842
početi,započeti,za,11654,829
čuvati,sačuvati,sa,1335,770
mati,primati,pri,1353,761
kazati,ukazati,u,16617,760
činiti,načiniti,na,8487,748
mrmljati,promrmljati,pro,486,747
zvati,nazvati,na,3963,746
uzeti,zauzeti,za,4077,742
dati,udati,u,5896,739
ljubiti,zaljubiti,za,1005,734
govoriti,progovoriti,pro,13834,731
dužiti,produžiti,pro,41,729
grliti,zagrliti,za,360,706
gasiti,ugasiti,u,419,701
držati,izdržati,iz,5942,701
stajati,ustajati,u,6069,700
tražiti,zatražiti,za,5990,685
vršiti,izvršiti,iz,552,679
ustavljati,zaustavljati,za,10,673
laziti,prilaziti,pri,11,673
pustiti,prepustiti,pre,2341,672
variti,prevariti,pre,27,670
vesti,navesti,na,48,667
likovati,razlikovati,raz,133,667
terati,naterati,na,632,666
javiti,objaviti,ob,1382,665
ništiti,uništiti,u,6,658
učiti,obučiti,ob,1173,645
titi,pretiti,pre,8,644
stati,pristati,pri,4131,642
čuditi,začuditi,za,622,636
tvrditi,utvrditi,u,1852,630
paliti,zapaliti,za,335,620
paliti,upaliti,u,335,617
stajati,prestajati,pre,6069,609
davati,dodavati,do,2395,604
dati,prodati,pro,5896,602
dahnuti,uzdahnuti,uz,22,601
padati,dopadati,do,2594,601
vratiti,uzvratiti,uz,7699,600
suditi,usuditi,u,750,599
vući,privući,pri,1348,586
biti,izbiti,iz,187140,585
ložiti,izložiti,iz,97,582
smešiti,nasmešiti,na,446,581
opštiti,saopštiti,sa,30,580
veriti,proveriti,pro,100,579
misliti,razmisliti,raz,11168,567
puštati,napuštati,na,786,562
misliti,izmisliti,iz,11168,557
davati,prodavati,pro,2395,557
nositi,podnositi,pod,4409,549
ući,obući,ob,4399,546
voditi,dovoditi,do,5046,543
vući,uvući,u,1348,541
vesti,uvesti,u,48,540
mešati,umešati,u,717,540
puštati,dopuštati,do,786,530
davati,predavati,pre,2395,523
biti,razbiti,raz,187140,517
družiti,pridružiti,pri,194,510
baciti,prebaciti,pre,2546,507
javiti,izjaviti,iz,1382,504
znati,doznati,do,29986,504
visiti,zavisiti,za,1019,496
kazati,dokazati,do,16617,495
baciti,izbaciti,iz,2546,488
gutati,progutati,pro,368,488
staviti,sastaviti,sa,2536,484
dirnuti,dodirnuti,do,234,477
baciti,odbaciti,od,2546,477
kidati,prekidati,pre,250,477
puniti,napuniti,na,347,474
ustati,odustati,od,2402,473
tisnuti,pritisnuti,pri,7,472
mahnuti,odmahnuti,od,289,469
pustiti,propustiti,pro,2341,466
vladati,savladati,sa,920,465
kazivati,ukazivati,u,567,465
voditi,navoditi,na,5046,456
dati,izdati,iz,5896,448
živeti,doživeti,do,2266,447
štititi,zaštititi,za,335,447
vrediti,uvrediti,u,558,444
uzeti,preuzeti,pre,4077,443
slutiti,naslutiti,na,528,442
hvatati,prihvatati,pri,984,438
pasti,napasti,na,3900,438
nositi,prenositi,pre,4409,436
igrati,odigrati,od,2814,436
putiti,zaputiti,za,40,435
poznavati,prepoznavati,pre,2760,435
tonuti,utonuti,u,318,435
vesti,prevesti,pre,48,434
taknuti,dotaknuti,do,65,434
pasti,upasti,u,3900,432
paziti,zapaziti,za,1113,430
krasti,ukrasti,u,330,429
uzeti,oduzeti,od,4077,426
gledati,pregledati,pre,11256,425
govoriti,dogovoriti,do,13834,407
reći,odreći,od,32340,406
viti,razviti,raz,221,405
ići,obići,ob,9434,405
vijati,odvijati,od,60,404
hraniti,sahraniti,sa,406,393
setiti,podsetiti,pod,1605,385
dizati,uzdizati,uz,958,385
vajati,odvajati,od,15,382
kočiti,ukočiti,u,95,382
stojati,sastojati,sa,36,379
stajati,pristajati,pri,6069,374
vući,navući,na,1348,373
kloniti,ukloniti,u,68,370
braniti,zabraniti,za,1090,369
vući,zavući,za,1348,368
risati,obrisati,ob,6,366
puštati,prepuštati,pre,786,364
rediti,urediti,u,20,364
nositi,iznositi,iz,4409,363
buditi,uzbuditi,uz,475,360
hvaliti,zahvaliti,za,365,359
nositi,unositi,u,4409,356
siliti,prisiliti,pri,32,355
ostati,preostati,pre,11461,354
baciti,ubaciti,u,2546,353
ložiti,odložiti,od,97,348
kazati,prikazati,pri,16617,348
uzimati,obuzimati,ob,1280,348
maknuti,odmaknuti,od,233,347
viknuti,doviknuti,do,897,345
voditi,izvoditi,iz,5046,344
držati,uzdržati,uz,5942,340
pisati,upisati,u,3704,340
očarati,razočarati,raz,116,339
dirati,prodirati,pro,285,337
baviti,nabaviti,na,1006,329
javiti,prijaviti,pri,1382,329
stajati,zastajati,za,6069,328
reći,izreći,iz,32340,328
davati,izdavati,iz,2395,327
plakati,zaplakati,za,1782,323
biti,probiti,pro,187140,317
kazivati,prikazivati,pri,567,316
slušati,saslušati,sa,4092,315
stajati,nastajati,na,6069,314
setiti,prisetiti,pri,1605,311
nuditi,prinuditi,pri,712,308
vući,odvući,od,1348,307
seći,preseći,pre,246,307
morati,primorati,pri,15467,306
gurnuti,odgurnuti,od,589,303
moriti,odmoriti,od,149,302
maknuti,primaknuti,pri,233,301
mrštiti,namrštiti,na,147,300
baciti,dobaciti,do,2546,299
laziti,zalaziti,za,11,297
uzimati,zauzimati,za,1280,295
vijati,razvijati,raz,60,292
kupiti,sakupiti,sa,1575,291
živeti,preživeti,pre,2266,289
pamtiti,zapamtiti,za,745,289
seliti,preseliti,pre,108,288
disati,uzdisati,uz,784,288
kazivati,dokazivati,do,567,284
maknuti,izmaknuti,iz,233,283
ćutati,ućutati,u,1851,281
vršiti,dovršiti,do,552,281
hapsiti,uhapsiti,u,55,279
krstiti,prekrstiti,pre,233,279
lagati,izlagati,iz,732,278
glasiti,proglasiti,pro,290,277
držati,sadržati,sa,5942,276
micati,odmicati,od,387,275
vladati,zavladati,za,920,274
ključati,zaključati,za,93,273
viđati,uviđati,u,680,273
šaputati,prošaputati,pro,703,273
ticati,uticati,u,1501,272
ćutati,zaćutati,za,1851,272
micati,izmicati,iz,387,270
dahnuti,udahnuti,u,22,269
nalaziti,pronalaziti,pro,4753,268
raditi,zaraditi,za,7532,268
širiti,proširiti,pro,1168,268
sticati,podsticati,pod,217,267
tumačiti,protumačiti,pro,339,266
meriti,odmeriti,od,155,265
radovati,obradovati,ob,433,264
brisati,izbrisati,iz,492,263
graditi,sagraditi,sa,543,255
pisati,zapisati,za,3704,254
graditi,izgraditi,iz,543,254
padati,upadati,u,2594,252
šetati,prošetati,pro,805,252
ljutiti,naljutiti,na,529,252
videti,uvideti,u,10954,251
zvoniti,zazvoniti,za,370,249
živeti,proživeti,pro,2266,249
trčati,dotrčati,do,1327,248
juriti,odjuriti,od,730,247
služiti,zaslužiti,za,1740,247
slediti,uslediti,u,771,246
spraviti,uspraviti,u,33,244
voleti,izvoleti,iz,2369,243
viti,saviti,sa,221,242
sretati,susretati,su,362,242
ostajati,preostajati,pre,1983,242
tiskati,pritiskati,pri,115,240
gledati,sagledati,sa,11256,239
drhtati,zadrhtati,za,983,239
videti,zavideti,za,10954,237
beležiti,zabeležiti,za,288,236
micati,promicati,pro,387,233
stupiti,nastupiti,na,452,228
padati,napadati,na,2594,226
pamtiti,upamtiti,u,745,226
nuti,prenuti,pre,7,226
vijati,savijati,sa,60,225
gledati,razgledati,raz,11256,225
stati,sastati,sa,4131,225
disati,udisati,u,784,224
uhvatiti,obuhvatiti,ob,2470,223
tešiti,utešiti,u,192,223
oružati,naoružati,na,11,223
goniti,progoniti,pro,484,222
blažiti,ublažiti,u,84,221
voditi,prevoditi,pre,5046,219
izvoditi,proizvoditi,pro,344,219
mucati,promucati,pro,188,218
robiti,zarobiti,za,9,218
desiti,udesiti,u,2247,216
desiti,zadesiti,za,2247,216
umiti,naumiti,na,186,214
ticati,doticati,do,1501,214
stajati,sastajati,sa,6069,213
sećati,prisećati,pri,2475,213
kloniti,zakloniti,za,68,212
micati,primicati,pri,387,212
saditi,dosaditi,do,41,211
počinjati,započinjati,za,1996,209
goniti,nagoniti,na,484,208
gušiti,ugušiti,u,409,207
rediti,prirediti,pri,20,207
slaviti,proslaviti,pro,392,205
metati,nametati,na,125,205
puštati,propuštati,pro,786,205
turati,preturati,pre,26,203
razumevati,podrazumevati,pod,154,202
pasti,zapasti,za,3900,202
činiti,sačiniti,sa,8487,202
roniti,izroniti,iz,41,201
sporiti,usporiti,u,35,201
vraćati,uzvraćati,uz,2954,199
teći,proteći,pro,826,199
valiti,prevaliti,pre,29,198
žmuriti,zažmuriti,za,90,198
bledeti,prebledeti,pre,153,197
ići,razići,raz,9434,197
motati,umotati,u,185,194
slikati,naslikati,na,236,193
rezati,urezati,u,79,193
gušiti,prigušiti,pri,409,192
glasiti,naglasiti,na,290,192
vesti,zavesti,za,48,191
grejati,zagrejati,za,183,191
ceniti,proceniti,pro,235,191
okupiti,zaokupiti,za,457,191
padati,propadati,pro,2594,191
valiti,provaliti,pro,29,190
krasiti,ukrasiti,u,78,187
viriti,proviriti,pro,362,187
skočiti,preskočiti,pre,982,187
moriti,umoriti,u,149,186
miti,umiti,u,346,186
riti,zariti,za,75,186
čekati,pričekati,pri,5720,186
ložiti,uložiti,u,97,185
raditi,izraditi,iz,7532,185
upreti,odupreti,od,164,184
nositi,zanositi,za,4409,183
viti,uviti,u,221,183
piti,napiti,na,1844,182
plaviti,preplaviti,pre,101,181
kloniti,nakloniti,na,68,181
domisliti,predomisliti,pre,7,181
klanjati,zaklanjati,za,215,180
žeti,prožeti,pro,1995,179
ticati,proticati,pro,1501,178
nositi,prinositi,pri,4409,177
trčati,pritrčati,pri,1327,177
deliti,dodeliti,do,844,177
uzdati,obuzdati,ob,142,177
maknuti,promaknuti,pro,233,176
uzimati,oduzimati,od,1280,175
seći,odseći,od,246,175
javiti,najaviti,na,1382,174
slediti,naslediti,na,771,174
govoriti,nagovoriti,na,13834,173
kovati,prikovati,pri,114,172
interesovati,zainteresovati,za,205,171
poručiti,preporučiti,pre,221,171
mešati,izmešati,iz,717,171
ložiti,naložiti,na,97,170
moći,domoći,do,46606,170
valiti,zavaliti,za,29,169
davati,pridavati,pri,2395,167
boleti,razboleti,raz,630,167
brzati,ubrzati,u,22,166
pustiti,upustiti,u,2341,166
šiti,sušiti,su,120,166
pasti,pripasti,pri,3900,165
dužiti,zadužiti,za,41,165
koračiti,zakoračiti,za,9,164
skakati,preskakati,pre,509,164
vraćati,odvraćati,od,2954,164
zvati,dozvati,do,3963,163
ljubiti,priljubiti,pri,1005,162
terati,doterati,do,632,161
pevati,zapevati,za,1235,161
seliti,naseliti,na,108,160
maknuti,umaknuti,u,233,159
groziti,ugroziti,u,27,157
vijati,uvijati,u,60,157
viti,izviti,iz,221,156
dati,zadati,za,5896,156
valiti,navaliti,na,29,156
plašiti,preplašiti,pre,1454,155
voditi,odvoditi,od,5046,155
vući,provući,pro,1348,154
davati,udavati,u,2395,153
loviti,uloviti,u,243,153
kopati,zakopati,za,303,153
stupiti,pristupiti,pri,452,153
stavljati,sastavljati,sa,934,153
pomenuti,napomenuti,na,711,151
jesti,ujesti,u,2096,151
pisati,prepisati,pre,3704,151
pisati,pripisati,pri,3704,151
puštati,upuštati,u,786,151
baciti,zabaciti,za,2546,151
skratiti,uskratiti,u,112,149
kucati,zakucati,za,329,149
boleti,zaboleti,za,630,149
kačiti,zakačiti,za,46,147
davati,zadavati,za,2395,147
diviti,zadiviti,za,403,146
krcati,ukrcati,u,8,146
porediti,uporediti,u,102,145
leteti,naleteti,na,242,145
baviti,zabaviti,za,1006,145
pasti,prepasti,pre,3900,145
lupiti,zalupiti,za,123,144
stupati,nastupati,na,213,144
vijati,izvijati,iz,60,144
lagati,nalagati,na,732,143
hoditi,uhoditi,u,164,143
crtati,nacrtati,na,103,142
dati,uzdati,uz,5896,142
spavati,uspavati,u,3002,142
lagati,odlagati,od,732,142
trebati,zatrebati,za,13890,141
učiti,proučiti,pro,1173,140
vijati,zavijati,za,60,140
roniti,uroniti,u,41,139
igrati,zaigrati,za,2814,139
daviti,udaviti,u,287,139
stizati,pristizati,pri,791,139
lutati,zalutati,za,583,139
tovariti,natovariti,na,79,139
ustajati,odustajati,od,700,138
lepiti,zalepiti,za,125,138
vući,razvući,raz,1348,138
secati,presecati,pre,6,136
vesti,privesti,pri,48,136
obići,zaobići,za,405,135
jahati,uzjahati,uz,568,135
svući,presvući,pre,237,134
baviti,izbaviti,iz,1006,134
topiti,utopiti,u,216,134
kupiti,prikupiti,pri,1575,134
udarati,zaudarati,za,1023,134
bledeti,izbledeti,iz,153,134
biti,nabiti,na,187140,134
setiti,dosetiti,do,1605,133
mašiti,promašiti,pro,215,132
ticati,zaticati,za,1501,132
kopati,ukopati,u,303,132
čuti,pročuti,pro,10341,132
skočiti,odskočiti,od,982,132
dražiti,razdražiti,raz,161,131
živiti,doživiti,do,2749,131
siti,prositi,pro,5,131
voleti,zavoleti,za,2369,130
teći,uteći,u,826,130
voditi,uvoditi,u,5046,129
vući,dovući,do,1348,129
imati,nadimati,nad,29631,129
prineti,doprineti,do,287,129
dubiti,udubiti,u,31,129
trljati,protrljati,pro,237,129
ćutati,prećutati,pre,1851,129
gaziti,pregaziti,pre,358,128
tisnuti,utisnuti,u,7,128
strašiti,prestrašiti,pre,48,128
trpati,zatrpati,za,76,128
lečiti,izlečiti,iz,278,128
stremiti,ustremiti,u,68,127
kinuti,ukinuti,u,25,127
dobiti,zadobiti,za,3333,127
nositi,nanositi,na,4409,127
zboriti,prozboriti,pro,79,126
ličiti,priličiti,pri,2067,126
stupiti,ustupiti,u,452,124
činiti,pričiniti,pri,8487,124
mrgoditi,namrgoditi,na,12,123
koračiti,prekoračiti,pre,9,123
graditi,nagraditi,na,543,123
živiti,preživiti,pre,2749,122
dahnuti,izdahnuti,iz,22,122
valiti,izvaliti,iz,29,122
pustiti,zapustiti,za,2341,121
uzeti,izuzeti,iz,4077,121
ostati,zaostati,za,11461,121
mrsiti,zamrsiti,za,65,120
padati,zapadati,za,2594,120
biti,zabiti,za,187140,120
drhtati,uzdrhtati,uz,983,119
udarati,odudarati,od,1023,119
kopati,dokopati,do,303,119
noćiti,prenoćiti,pre,33,118
krstiti,ukrstiti,u,233,118
viriti,zaviriti,za,362,118
metati,razmetati,raz,125,118
pušiti,zapušiti,za,940,117
poručivati,preporučivati,pre,120,117
braniti,odbraniti,od,1090,116
goreti,izgoreti,iz,551,116
ostati,izostati,iz,11461,116
zvati,prizvati,pri,3963,115
vesti,razvesti,raz,48,114
gledati,nadgledati,nad,11256,114
terati,preterati,pre,632,113
vratiti,navratiti,na,7699,113
izvesti,proizvesti,pro,842,112
nervirati,iznervirati,iz,93,111
kasniti,zakasniti,za,176,111
bacati,razbacati,raz,1156,110
likovati,oblikovati,ob,133,110
micati,uzmicati,uz,387,110
gomilati,nagomilati,na,124,110
snovati,zasnovati,za,41,110
viti,priviti,pri,221,109
kazati,zakazati,za,16617,109
zvati,prozvati,pro,3963,109
prezati,naprezati,na,48,109
manuti,obmanuti,ob,133,108
viditi,uviditi,u,12663,108
tajiti,pritajiti,pri,28,108
birati,prebirati,pre,474,108
gađati,nagađati,na,236,107
srnuti,nasrnuti,na,23,107
meriti,zameriti,za,155,106
tražiti,pretražiti,pre,5990,106
uzimati,preuzimati,pre,1280,106
sititi,zasititi,za,18,106
sipati,prosipati,pro,257,104
držati,pridržati,pri,5942,104
letiti,izletiti,iz,598,103
važiti,odvažiti,od,103,103
pretiti,zapretiti,za,644,103
varati,zavarati,za,506,103
praviti,upraviti,u,1783,103
vezati,privezati,pri,1111,102
brusiti,odbrusiti,od,19,102
liti,obliti,ob,96,102
hraniti,nahraniti,na,406,101
prljati,uprljati,u,60,101
seliti,useliti,u,108,100
uzrokovati,prouzrokovati,pro,23,100
upirati,odupirati,od,174,99
drmati,prodrmati,pro,45,99
magliti,zamagliti,za,124,99
liti,uliti,u,96,99
putovati,doputovati,do,1115,98
žaliti,sažaliti,sa,956,98
seliti,odseliti,od,108,98
moriti,zamoriti,za,149,98
tući,utući,u,538,97
viti,zaviti,za,221,97
kašljati,nakašljati,na,128,97
leteti,izleteti,iz,242,96
misliti,promisliti,pro,11168,96
visiti,uzvisiti,uz,1019,96
liti,zaliti,za,96,96
pratiti,propratiti,pro,2628,96
grliti,obgrliti,ob,360,96
računati,izračunati,iz,456,95
bivati,dobivati,do,1203,95
prtiti,uprtiti,u,23,95
stupati,zastupati,za,213,95
rušiti,narušiti,na,322,95
valiti,uvaliti,u,29,95
baviti,pribaviti,pri,1006,94
maknuti,razmaknuti,raz,233,94
spavati,prespavati,pre,3002,94
plašiti,zaplašiti,za,1454,94
platiti,naplatiti,na,1147,94
krutiti,ukrutiti,u,49,93
daviti,zadaviti,za,287,93
sipati,zasipati,za,257,92
vijati,previjati,pre,60,92
viknuti,priviknuti,pri,897,92
staviti,dostaviti,do,2536,91
šaliti,našaliti,na,524,91
cediti,procediti,pro,99,91
mazati,namazati,na,66,91
dužiti,izdužiti,iz,41,91
vraćati,navraćati,na,2954,91
gunđati,progunđati,pro,197,91
miriti,izmiriti,iz,265,90
roniti,zaroniti,za,41,90
poznavati,upoznavati,u,2760,90
obratiti,preobratiti,pre,1141,89
gledati,nagledati,na,11256,89
moriti,premoriti,pre,149,89
uditi,nauditi,na,74,89
slepiti,zaslepiti,za,164,89
trpeti,pretrpeti,pre,186,89
biti,prebiti,pre,187140,89
vrteti,zavrteti,za,334,88
lagati,ulagati,u,732,88
juriti,dojuriti,do,730,88
užiti,odužiti,od,15,88
vući,podvući,pod,1348,87
pečatiti,zapečatiti,za,12,87
dirati,razdirati,raz,285,87
legati,razlegati,raz,26,87
želiti,zaželiti,za,2427,87
terati,proterati,pro,632,87
mučiti,namučiti,na,1256,86
gurati,ugurati,u,620,86
općiti,uopćiti,u,6,86
jahati,odjahati,od,568,86
jecati,zajecati,za,244,86
taknuti,nataknuti,na,65,85
metati,premetati,pre,125,85
snivati,zasnivati,za,41,85
listati,prelistati,pre,100,85
veseliti,razveseliti,raz,254,85
roditi,izroditi,iz,1917,85
manjiti,umanjiti,u,232,85
leteti,odleteti,od,242,85
točiti,zatočiti,za,52,84
buniti,uzbuniti,uz,302,84
topiti,natopiti,na,216,84
teći,priteći,pri,826,84
likovati,nalikovati,na,133,84
kriviti,nakriviti,na,343,84
dragati,razdragati,raz,350,84
govoriti,ugovoriti,u,13834,83
dosećati,predosećati,pre,18,83
govoriti,prigovoriti,pri,13834,83
likovati,dolikovati,do,133,82
