prefix,pairs_with_both_vectors_own_fasttext,pairs_with_both_vectors_own_fasttext_lemmas,pairs_with_both_vectors_own_word2vec_lemmas,coverage_own_fasttext,coverage_own_fasttext_lemmas,coverage_own_word2vec_lemmas,evaluated_pairs_own_fasttext,evaluated_pairs_own_fasttext_lemmas,evaluated_pairs_own_word2vec_lemmas,mean_cos_global_own_fasttext,mean_cos_global_own_fasttext_lemmas,mean_cos_global_own_word2vec_lemmas,mean_cos_prefix_own_fasttext,mean_cos_prefix_own_fasttext_lemmas,mean_cos_prefix_own_word2vec_lemmas,mean_delta_prefix_minus_global_own_fasttext,mean_delta_prefix_minus_global_own_fasttext_lemmas,mean_delta_prefix_minus_global_own_word2vec_lemmas,word2vec_minus_fasttext_prefix_cos,word2vec_minus_fasttext_coverage,fasttext_lemmas_minus_fasttext_prefix_cos,fasttext_lemmas_minus_word2vec_lemmas_prefix_cos
za,150,153,153,0.78125,0.796875,0.796875,150,153,153,0.9185459383328756,0.9933990653044258,0.9767235022744322,0.9299616213639578,0.9923897019398757,0.9772900810428694,0.011415683031082167,-0.0010093633645500161,0.0005665787684372026,0.04732845967891164,0.015625,0.06242808057591798,0.015099620897006338
u,124,118,118,0.7209302325581395,0.686046511627907,0.686046511627907,124,118,118,0.9184841576122469,0.9899342423778469,0.968210317825867,0.9283401504639657,0.989561285002757,0.9695098248578734,0.009855992851718783,-0.0003729573750900029,0.0012995070320064748,0.04116967439390773,-0.03488372093023251,0.0612211345387913,0.02005146014488357
po,118,115,115,0.8872180451127819,0.8646616541353384,0.8646616541353384,118,115,115,0.89039346575737,0.9866316240766774,0.958549734302189,0.91115355592663,0.9853866411292035,0.9599078530850618,0.020760090169260042,-0.001244982947473934,0.0013581187828727401,0.048754297158431714,-0.022556390977443552,0.07423308520257343,0.02547878804414172
pre,90,95,95,0.6666666666666666,0.7037037037037037,0.7037037037037037,90,95,95,0.8941495001316071,0.9869945965315167,0.9761008645358838,0.9204853494962056,0.9903492406794899,0.9779238738511739,0.026335849364598592,0.003354644147973322,0.001823009315289956,0.05743852435496821,0.03703703703703709,0.06986389118328429,0.012425366828316076
na,91,94,94,0.7982456140350878,0.8245614035087719,0.8245614035087719,91,94,94,0.9082681458074968,0.9928275777938518,0.9714303625390884,0.9292987847066188,0.9886257020716972,0.971396636455617,0.02103063889912197,-0.004201875722154642,-3.372608347142469e-05,0.04209785174899827,0.02631578947368418,0.059326917365078446,0.017229065616080175
pro,80,81,81,0.7843137254901961,0.7941176470588235,0.7941176470588235,80,81,81,0.8948489539325237,0.985013445954264,0.9707709668595114,0.9190452352166176,0.9890460629522064,0.9708128762833866,0.024196281284093856,0.004032616997942539,4.1909423875214545e-05,0.05176764106676901,0.009803921568627416,0.0700008277355888,0.01823318666881979
iz,68,77,77,0.6938775510204082,0.7857142857142857,0.7857142857142857,68,77,77,0.8963996347259072,0.9911211109780645,0.9716103417532784,0.9189163630499559,0.9867316407042664,0.9725163795731284,0.022516728324048652,-0.004389470273798163,0.0009060378198499674,0.05360001652317248,0.09183673469387754,0.0678152776543105,0.014215261131138024
pri,63,69,69,0.7590361445783133,0.8313253012048193,0.8313253012048193,63,69,69,0.8767544863716005,0.9868836316509523,0.9784270611362181,0.9125630742027646,0.9899414777755737,0.9805700252021569,0.03580858783116414,0.003057846124621394,0.0021429640659387512,0.06800695099939225,0.07228915662650603,0.07737840357280912,0.009371452573416872
do,56,61,61,0.7777777777777778,0.8472222222222222,0.8472222222222222,56,61,61,0.8885700649448803,0.9887837894627305,0.9693285060710595,0.9179633781313896,0.9852524888320048,0.9713823502181006,0.029393313186509278,-0.0035313006307257943,0.0020538441470411613,0.05341897208671098,0.06944444444444442,0.06728911070061516,0.013870138613904182
o,62,56,56,0.7848101265822784,0.7088607594936709,0.7088607594936709,62,56,56,0.9103735964144429,0.9866178429552487,0.9547915724771363,0.9245430692549674,0.9815920633929116,0.9585515292627471,0.014169472840524486,-0.005025779562337054,0.0037599567856107657,0.034008460007779684,-0.07594936708860756,0.057048994137944176,0.02304053413016449
s,51,52,52,0.796875,0.8125,0.8125,51,52,52,0.9024590043460622,0.9858599396852347,0.9499851820560602,0.9250802958712858,0.9800782742408606,0.9535802820554147,0.022621291525223675,-0.005781665444374095,0.003595099999354425,0.028499986184128856,0.015625,0.05499797836957476,0.026497992185445907
od,52,49,49,0.8387096774193549,0.7903225806451613,0.7903225806451613,52,49,49,0.9002234626274842,0.9896112960212085,0.9695627032494059,0.9249559663809263,0.9832208180914119,0.9714387034883305,0.024732503753442006,-0.006390477929796482,0.0018760002389245946,0.04648273710740425,-0.048387096774193616,0.05826485171048568,0.011782114603081428
raz,37,41,41,0.6851851851851852,0.7592592592592593,0.7592592592592593,37,41,41,0.8959584719425923,0.9863416741533977,0.9770378019751572,0.933652041731654,0.988631026047032,0.9796804931105637,0.03769356978906165,0.002289351893634331,0.0026426911354064993,0.04602845137890976,0.07407407407407407,0.054978984315378066,0.008950532936468303
sa,29,31,31,0.90625,0.96875,0.96875,29,31,31,0.8692933917045593,0.9877057594637717,0.9580398259624359,0.9148709116310909,0.9804937551098485,0.9568130239363639,0.045577519926531564,-0.007212004353923215,-0.0012268020260718202,0.041942112305273005,0.0625,0.06562284347875758,0.02368073117348457
uz,15,18,18,0.7142857142857143,0.8571428571428571,0.8571428571428571,15,18,18,0.9324006915092469,0.9899365703264872,0.9755886197090149,0.9458873470624288,0.9820025563240051,0.9766396250989702,0.013486655553181966,-0.007934014002482127,0.0010510053899553272,0.030752278036541347,0.1428571428571428,0.0361152092615763,0.00536293122503495
ob,16,17,17,0.6666666666666666,0.7083333333333334,0.7083333333333334,16,17,17,0.8502508215606213,0.9895498261732214,0.9742512702941895,0.906989760696888,0.9823907508569605,0.9775403282221626,0.056738939136266736,-0.007159075316260836,0.0032890579279731104,0.07055056752527467,0.04166666666666674,0.07540099016007251,0.004850422634797846
pod,17,14,14,0.85,0.7,0.7,17,14,14,0.867174439570483,0.9909487920148032,0.9813617382730756,0.9199442968649023,0.9818374727453504,0.9843667788164956,0.0527698572944192,-0.009111319269452729,0.003005040543419966,0.06442248195159328,-0.15000000000000002,0.06189317588044807,-0.0025293060711452098
ras,11,10,10,0.7857142857142857,0.7142857142857143,0.7142857142857143,11,10,10,0.8557748740369623,0.985812383890152,0.9864498257637024,0.9227527434175665,0.9811058461666107,0.9919258773326873,0.06697786938060411,-0.004706537723541337,0.0054760515689850076,0.06917313391512081,-0.0714285714285714,0.05835310274904415,-0.01082003116607666
nad,7,6,6,0.7,0.6,0.6,7,6,6,0.8637474179267883,0.9916652043660482,0.981123129526774,,,,,,,,-0.09999999999999998,,
su,6,5,5,0.75,0.625,0.625,6,5,5,0.8725542028745016,0.9910557866096497,0.9874775767326355,,,,,,,,-0.125,,
pr,2,2,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,2,0.9092991054058075,0.9708123207092284,0.917339414358139,,,,,,,,0.0,,
v,2,2,2,0.4,0.4,0.4,2,2,2,0.8737616240978241,0.9688057601451874,0.9273025691509247,,,,,,,,0.0,,
